species,name,atoms,cas_no,charge
H,Hydrogen atom,1,12385136,0.0
D,Deuterium atom,1,16873179,0.0
He,Helium atom,1,7440597,0.0
Li,Lithium atom,1,7439932,0.0
Be,Beryllium atom,1,7440417,0.0
B,Boron atom,1,7440428,0.0
C,Carbon atom,1,7440440,0.0
N,Nitrogen atom,1,17778880,0.0
O,Oxygen atom,1,17778802,0.0
F,Fluorine atom,1,14762948,0.0
Ne,Neon atom,1,7440019,0.0
Na,Sodium atom,1,7440235,0.0
Mg,Magnesium atom,1,7439954,0.0
Al,Aluminum atom,1,7429905,0.0
Si,Silicon atom,1,7440213,0.0
P,Phosphorus atom,1,7723140,0.0
S,Sulfur atom,1,7704349,0.0
Cl,Chlorine atom,1,22537151,0.0
Ar,Argon atom,1,7440371,0.0
K,Potassium atom,1,7440097,0.0
Ca,Calcium atom,1,7440702,0.0
Sc,Scandium atom,1,7440202,0.0
Ti,Titanium atom,1,7440326,0.0
V,Vanadium atom,1,7440622,0.0
Cr,Chromium atom,1,7440473,0.0
Mn,Manganese atom,1,7439965,0.0
Fe,Iron atom,1,7439896,0.0
Co,Cobalt atom,1,7440484,0.0
Ni,Nickel atom,1,7440020,0.0
Cu,Copper atom,1,7440508,0.0
Zn,Zinc atom,1,7440666,0.0
Ga,Gallium atom,1,7440553,0.0
Ge,Germanium atom,1,7440564,0.0
As,Arsenic atomic,1,7440382,0.0
Se,Selenium atom,1,7782492,0.0
Br,Bromine atom,1,10097322,0.0
Kr,Krypton atom,1,7439909,0.0
Sn,Tin atom,1,7440315,0.0
Sb,Antimony atom,1,7440360,0.0
Te,Tellurium atom,1,13494809,0.0
I,Iodine atom,1,14362448,0.0
Xe,Xenon atom,1,7440633,0.0
D2,Deuterium diatomic,2,7782390,0.0
H2,Hydrogen diatomic,2,1333740,0.0
HD,Deuterium hydride,2,13983205,0.0
HeH,Helium hydride,2,9000219,0.0
LiH,Lithium Hydride,2,7580678,0.0
Li2,Lithium diatomic,2,14452596,0.0
BeH,beryllium monohydride,2,13597972,0.0
Be2,Beryllium diatomic,2,14452609,0.0
LiBe,Lithium Beryllium,2,9000365,0.0
BH,Boron monohydride,2,13766262,0.0
B2,Boron diatomic,2,14452610,0.0
LiB,Lithium boride,2,12523567,0.0
BeB,Beryllium monoboride,2,57679637,0.0
CH,Methylidyne,2,3315375,0.0
LiC,Lithium Carbide,2,57788939,0.0
BeC,Beryllium Carbide,2,57788940,0.0
C2,Carbon diatomic,2,12070154,0.0
BC,boron monocarbide,2,12011540,0.0
NH,Imidogen,2,13774920,0.0
BN,boron nitride,2,10043115,0.0
LiN,Lithium Nitride,2,32746319,0.0
BeN,Beryllium mononitride,2,37279111,0.0
N2,Nitrogen diatomic,2,7727379,0.0
CN,Cyano radical,2,2074875,0.0
OH,Hydroxyl radical,2,3352576,0.0
DO,Hydroxyl-d,2,13587547,0.0
BO,boron monoxide,2,12505770,0.0
NO,Nitric oxide,2,10102439,0.0
LiO,lithium oxide,2,12142777,0.0
O2,Oxygen diatomic,2,7782447,0.0
CO,Carbon monoxide,2,630080,0.0
BeO,beryllium oxide,2,1304569,0.0
HF,Hydrogen fluoride,2,7664393,0.0
DF,Hydrofluoric acid-d,2,14333267,0.0
NF,nitrogen fluoride,2,13967061,0.0
BF,Boron monofluoride,2,13768600,0.0
BeF,Beryllium monofluoride,2,13597961,0.0
FO,Oxygen monofluoride,2,12061700,0.0
LiF,lithium fluoride,2,7789244,0.0
F2,Fluorine diatomic,2,7782414,0.0
CF,Fluoromethylidyne,2,3889756,0.0
NeH,neon hydrogen,2,12200656,0.0
Ne2,Neon diatomic,2,12185056,0.0
NaH,sodium hydride,2,7646697,0.0
NaF,sodium fluoride,2,7681494,0.0
NaBe,Sodium Beryllium,2,9000368,0.0
NaLi,lithium sodium,2,12333492,0.0
NaO,sodium monoxide,2,12401864,0.0
Na2,Sodium diatomic,2,25681792,0.0
MgH,magnesium monohydride,2,14332537,0.0
